"Day","Hour","Season","ExamPeriod","LowSalesPeriod","DrinksSold","Size.Mean","Content.Espresso","Content.Drip","Content.Water","Content.Tea","Content.Milk","Content.SpecialtyMilk","Content.Chocolate","Content.Seasonal","Content.Juice","Trait.Cold","Trait.HighInSugar","Trait.HighInCaffeine","Trait.Froth","Temperature","DewPoint","Humidity","WindSpeed","Pressure","Clear","Fog","Rain","Snow"
2016-09-11,9,"Fall",FALSE,FALSE,6,256,4,2,1,0,2,1,0,0,0,0,0,2,6,17.6,10.6,63,32,100.58,FALSE,FALSE,FALSE,FALSE
2016-09-12,10,"Fall",FALSE,FALSE,9,319,6,2,1,1,5,0,0,0,0,0,0,2,9,19.6,12,61,25,101.83,TRUE,FALSE,FALSE,FALSE
2016-09-12,11,"Fall",FALSE,FALSE,11,312,7,1,1,3,7,2,0,0,0,1,1,1,10,20.3,13.8,66,24,101.8,TRUE,FALSE,FALSE,FALSE
2016-09-12,12,"Fall",FALSE,FALSE,13,278,8,2,5,2,4,1,0,0,1,1,0,2,12,21.2,12.5,57,30,101.75,TRUE,FALSE,FALSE,FALSE
2016-09-12,13,"Fall",FALSE,FALSE,14,338,8,2,2,4,10,0,0,0,0,1,1,2,10,21.8,12.2,54,27,101.71,TRUE,FALSE,FALSE,FALSE
2016-09-12,14,"Fall",FALSE,FALSE,8,189,7,0,2,1,4,1,1,0,0,1,2,0,6,22.5,11.4,49,25,101.68,TRUE,FALSE,FALSE,FALSE
2016-09-12,15,"Fall",FALSE,FALSE,7,287,5,1,1,0,3,2,1,0,0,1,0,1,6,22.8,10.7,46,24,101.64,TRUE,FALSE,FALSE,FALSE
2016-09-12,16,"Fall",FALSE,FALSE,7,321,5,0,2,1,5,0,1,0,0,2,0,0,6,22.8,10.4,45,18,101.58,TRUE,FALSE,FALSE,FALSE
2016-09-12,17,"Fall",FALSE,FALSE,11,275,8,0,3,3,4,2,0,0,0,1,0,0,11,22,9.7,45,22,101.57,TRUE,FALSE,FALSE,FALSE
2016-09-12,18,"Fall",FALSE,FALSE,7,296,6,0,1,1,6,0,1,0,0,2,0,0,5,20.7,9.7,49,19,101.53,TRUE,FALSE,FALSE,FALSE
2016-09-12,19,"Fall",FALSE,FALSE,7,326,4,0,3,3,3,0,0,0,0,0,1,0,6,19.2,11.1,59,15,101.56,TRUE,FALSE,FALSE,FALSE
2016-09-12,20,"Fall",FALSE,FALSE,3,237,2,0,2,0,1,0,0,0,0,0,0,0,3,19.8,11.7,59,17,101.57,TRUE,FALSE,FALSE,FALSE
2016-09-12,7,"Fall",FALSE,FALSE,8,207,8,0,2,0,5,1,0,0,0,0,0,0,5,14.2,9.1,71,8,101.84,TRUE,FALSE,FALSE,FALSE
2016-09-12,8,"Fall",FALSE,FALSE,5,331,4,1,0,0,4,0,1,0,0,1,0,1,5,15.7,10.1,69,24,101.88,TRUE,FALSE,FALSE,FALSE
2016-09-12,9,"Fall",FALSE,FALSE,10,243,7,2,0,0,8,0,0,0,0,0,0,2,9,17.7,10.4,62,18,101.87,TRUE,FALSE,FALSE,FALSE
